resId:ID(r),sysno
025259830,'OCoLC/611456571;IDSLU/000350621'
025259849,'OCoLC/246968880;IDSLU/000350622'
025259857,'OCoLC/75432880;IDSLU/000350623'
025259881,'OCoLC/611456664;IDSLU/000350626'
025259938,'OCoLC/75395566;IDSLU/000350627'
025259970,'OCoLC/611456864;IDSLU/000350635'
025260073,'OCoLC/611457032;IDSLU/000350645'
025260111,'OCoLC/611457124;IDSLU/000350650'
025260138,'OCoLC/257388733;IDSLU/000350649'
025260197,'OCoLC/886104582;IDSLU/000350659'
025260235,'OCoLC/75247733;IDSLU/000350663'
025260243,'OCoLC/611457785;IDSLU/000350664'
025260251,'OCoLC/886104431;IDSLU/000350665'
025260278,'OCoLC/886104643;IDSLU/000350668'
025260294,'OCoLC/75418388;IDSLU/000350669'
025260316,'OCoLC/75417925;IDSLU/000350671'
025260324,'OCoLC/75313090;IDSLU/000350672'
025260340,'OCoLC/246607629;IDSLU/000350674'
025260383,'OCoLC/246513099;IDSLU/000350679'
025260405,'OCoLC/75400239;IDSLU/000350682'
02526043X,'OCoLC/886104647;IDSLU/000350686'
025260510,'OCoLC/246865694;IDSLU/000350693'
025260529,'OCoLC/246959292;IDSLU/000350694'
025260553,'OCoLC/611458303;IDSLU/000350698'
025260723,'OCoLC/611458614;IDSLU/000350718'
025260731,'OCoLC/611458632;IDSLU/000350719'
025260774,'OCoLC/75329037;IDSLU/000350724'
025260782,'OCoLC/886104844;IDSLU/000350725'
025260855,'OCoLC/886105037;IDSLU/000350735'
025260898,'OCoLC/75308055;IDSLU/000350739'
025260995,'OCoLC/611459454;IDSLU/000350748'
025261002,'OCoLC/75337973;IDSLU/000350749'
02526107X,'OCoLC/611459643;IDSLU/000350758'
025261088,'OCoLC/611459661;IDSLU/000350759'
025261096,'OCoLC/611459602;IDSLU/000350756'
025261134,'OCoLC/75362135;IDSLU/000350764'
025261258,'OCoLC/886105212;IDSLU/000350776'
025261304,'OCoLC/886105288;IDSLU/000350781'
02526138X,'OCoLC/611460131;IDSLU/000350790'
025261428,'OCoLC/611460188;IDSLU/000350793'
025261436,'OCoLC/886105325;IDSLU/000350794'
025261495,'OCoLC/75336728;IDSLU/000350798'
025261509,'OCoLC/886105414;IDSLU/000350801'
025261568,'OCoLC/75447945;IDSLU/000350807'
025261576,'OCoLC/75302028;IDSLU/000350808'
025261606,'OCoLC/75432865;IDSLU/000350811'
02526169X,'OCoLC/886105516;IDSLU/000350821'
025261789,'OCoLC/214468726;IDSLU/000350826'
025261819,'OCoLC/611460741;IDSLU/000350833'
025261827,'OCoLC/75305548;IDSLU/000350834'
025261835,'OCoLC/247059754;IDSLU/000350835'
025261843,'OCoLC/886105783;IDSLU/000350837'
025261894,'OCoLC/75453574;IDSLU/000350841'
025261983,'OCoLC/75310788;IDSLU/000350850'
025262033,'OCoLC/75442687;IDSLU/000350855'
025262114,'OCoLC/260179206;IDSLU/000350866'
025262130,'OCoLC/886106072;IDSLU/000350869'
025262157,'OCoLC/231621855;IDSLU/000350868'
02526222X,'OCoLC/75380127;IDSLU/000350877'
025262300,'OCoLC/75501585;IDSLU/000350885'
025262386,'OCoLC/75511545;IDSLU/000350894'
025262467,'OCoLC/243739606;IDSLU/000350902'
025262491,'OCoLC/611462451;IDSLU/000350907'
025262505,'OCoLC/611462467;IDSLU/000350908'
025262610,'OCoLC/611462620;IDSLU/000350920'
025262645,'OCoLC/611462641;IDSLU/000350922'
025262661,'OCoLC/886106494;IDSLU/000350925'
025262718,'OCoLC/611462751;IDSLU/000350930'
025262726,'OCoLC/611462772;IDSLU/000350931'
025262769,'OCoLC/231637359;IDSLU/000350936'
025262815,'OCoLC/611462889;IDSLU/000350941'
025262882,'OCoLC/75564166;IDSLU/000350948'
025262955,'OCoLC/246826608;IDSLU/000350958'
025262971,'OCoLC/75601518;IDSLU/000350959'
025263005,'OCoLC/611463159;IDSLU/000350962'
025263048,'OCoLC/75540764;IDSLU/000350966'
025263056,'OCoLC/246872067;IDSLU/000350967'
025263110,'OCoLC/75603085;IDSLU/000350971'
025263137,'OCoLC/75386129;IDSLU/000350975'
025263153,'OCoLC/611463366;IDSLU/000350977'
