"000000051","949"," "," ","p","NKS04018008X"
"000000051","949"," "," ","q","000300043"
"000000051","949"," "," ","r","000010"
"000000051","949"," "," ","0","Neue Kantonsschule Aarau"
"000000051","949"," "," ","1","Medio"
"000000051","949"," "," ","3","BOOK"
"000000051","949"," "," ","4","01"
"000000051","949"," "," ","5","1 Monat"
"000000051","leader","","","","cam a22     4  4500""
"00000006X","001","","","","00000006X""
"00000006X","003","","","","CHVBK""
"00000006X","005","","","","20140814164059.0""
"00000006X","008","","","","080401m17531760gw            00    ger""
"00000006X","019"," "," ","a","03800379"
"00000006X","019"," "," ","5","fj"
"00000006X","035"," "," ","a","(OCoLC)775794200"
"00000006X","035"," "," ","a","(ABN)000350018"
"00000006X","040"," "," ","a","CH-AaAKB"
"00000006X","100","1"," ","a","Brückner"
"00000006X","100","1"," ","D","Georg"
"00000006X","245","1","0","a","Sammlung verschiedener Nachrichten zu e. Beschreibung d. Kirchen- u. Schulenstaats im Herzogth. Gotha"
"00000006X","245","1","0","c","Joh. Georg Brückner"
"00000006X","260"," "," ","a","Gotha"
"00000006X","260"," "," ","b","Mevius"
"00000006X","260"," "," ","c","1753-1760"
"00000006X","300"," "," ","a","3 Bde"
"00000006X","300"," "," ","c","4°"
"00000006X","909"," ","7","f","Rekat BBI"
"00000006X","909"," ","7","2","idsuzh U2"
"00000006X","950"," "," ","B","ABN"
"00000006X","950"," "," ","P","100"
"00000006X","950"," "," ","E","1-"
"00000006X","950"," "," ","a","Brückner"
"00000006X","950"," "," ","D","Georg"
"00000006X","898"," "," ","a","BK020000"
"00000006X","898"," "," ","b","XK020000"
"00000006X","898"," "," ","c","XK020000"
"00000006X","949"," "," ","B","ABN"
"00000006X","949"," "," ","C","ABN51"
"00000006X","949"," "," ","D","ABN01"
"00000006X","949"," "," ","E","000350018"
"00000006X","949"," "," ","F","AKB"
"00000006X","949"," "," ","b","AKB"
"00000006X","949"," "," ","c","AKBMA"
"00000006X","949"," "," ","j","AKB CQ 325: 1-3"
"00000006X","949"," "," ","p","350018-10"
"00000006X","949"," "," ","q","000350018"
"00000006X","949"," "," ","r","000010"
"00000006X","949"," "," ","0","Aargauer Kantonsbibliothek"
"00000006X","949"," "," ","1","Magazin"
"00000006X","949"," "," ","3","BOOK"
"00000006X","949"," "," ","4","25"
