"025256505","@type","http://purl.org/dc/terms/BibliographicResource"
"025256505","@context","https://resources.swissbib.ch/bibliographicResource/context.jsonld"
"025256505","@id","http://data.swissbib.ch/bibliographicResource/025256505"
"025256505","rdfs:isDefinedBy","http://data.swissbib.ch/bibliographicResource/025256505/about"
"025256505","dct:language","http://lexvo.org/id/iso639-3/swe"
"025256505","rdau:P60163","http://sws.geonames.org/2661886/"
"025256505","dct:contributor","http://data.swissbib.ch/person/67d14043-71b8-3d7c-8bf8-5b820e57f97e"
"025256505","rdau:P60339","Torsten Nilsson"
"025256505","dc:format","1 Partitur"
"025256505","rdau:P60049","http://rdvocab.info/termList/RDAContentType/1010"
"025256505","rdau:P60050","http://rdvocab.info/termList/RDAMediaType/1007"
"025256505","dct:issued","1963"
"025256505","dct:title","Fader, förlåt dem : Evengliemotett på Långfredagen"
"025256513","@type","http://purl.org/dc/terms/BibliographicResource"
"025256513","@context","https://resources.swissbib.ch/bibliographicResource/context.jsonld"
"025256513","@id","http://data.swissbib.ch/bibliographicResource/025256513"
"025256513","rdfs:isDefinedBy","http://data.swissbib.ch/bibliographicResource/025256513/about"
"025256513","dct:language","http://lexvo.org/id/iso639-3/swe"
"025256513","rdau:P60163","http://sws.geonames.org/2661886/"
"025256513","dct:contributor","http://data.swissbib.ch/person/70e896cc-1ac2-31e3-a458-77098275e497"
"025256513","rdau:P60339","Hilding Rosenberg"
"025256513","dc:format","1 Partitur"
"025256513","rdau:P60049","http://rdvocab.info/termList/RDAContentType/1010"
"025256513","rdau:P60050","http://rdvocab.info/termList/RDAMediaType/1007"
"025256513","dct:issued","1949"
"025256513","dct:title","Herren, min Gud, gör mitt mörker ljust : (Psalt. 18:29.36:10)"
"025256521","@type","http://purl.org/dc/terms/BibliographicResource"
"025256521","@context","https://resources.swissbib.ch/bibliographicResource/context.jsonld"
"025256521","@id","http://data.swissbib.ch/bibliographicResource/025256521"
"025256521","rdfs:isDefinedBy","http://data.swissbib.ch/bibliographicResource/025256521/about"
"025256521","dct:language","http://lexvo.org/id/iso639-3/swe"
"025256521","rdau:P60163","http://sws.geonames.org/2661886/"
"025256521","dct:contributor","http://data.swissbib.ch/person/70e896cc-1ac2-31e3-a458-77098275e497"
"025256521","rdau:P60339","Hilding Rosenberg"
"025256521","dc:format","1 Partitur"
"025256521","rdau:P60049","http://rdvocab.info/termList/RDAContentType/1010"
"025256521","rdau:P60050","http://rdvocab.info/termList/RDAMediaType/1007"
"025256521","dct:issued","1950"
"025256521","dct:title","Herre, jag vill tacka dig bland folken : Psalt. 57:10-9 59:17"
"02525653X","@type","http://purl.org/dc/terms/BibliographicResource"
"02525653X","@context","https://resources.swissbib.ch/bibliographicResource/context.jsonld"
"02525653X","@id","http://data.swissbib.ch/bibliographicResource/02525653X"
"02525653X","rdfs:isDefinedBy","http://data.swissbib.ch/bibliographicResource/02525653X/about"
"02525653X","dct:language","http://lexvo.org/id/iso639-3/swe"
"02525653X","rdau:P60163","http://sws.geonames.org/2661886/"
"02525653X","dct:contributor","http://data.swissbib.ch/person/67d14043-71b8-3d7c-8bf8-5b820e57f97e"
"02525653X","rdau:P60339","Torsten Nilsson"
"02525653X","dc:format","1 Partitur"
"02525653X","rdau:P60049","http://rdvocab.info/termList/RDAContentType/1010"
"02525653X","rdau:P60050","http://rdvocab.info/termList/RDAMediaType/1007"
"02525653X","dct:issued","1963"
"02525653X","dct:title","Frid vare med Eder : Evengliemotett på 1:sta Sönd. efter påsk"
"025256548","@type","http://purl.org/dc/terms/BibliographicResource"
"025256548","@context","https://resources.swissbib.ch/bibliographicResource/context.jsonld"
"025256548","@id","http://data.swissbib.ch/bibliographicResource/025256548"
"025256548","rdfs:isDefinedBy","http://data.swissbib.ch/bibliographicResource/025256548/about"
"025256548","dct:language","http://lexvo.org/id/iso639-3/swe"
"025256548","rdau:P60163","http://sws.geonames.org/2661886/"
"025256548","dct:contributor","http://data.swissbib.ch/person/70e896cc-1ac2-31e3-a458-77098275e497"
"025256548","rdau:P60339","Hilding Rosenberg"
"025256548","dc:format","1 Partitur"
"025256548","dct:bibliographicCitation","Svenska tersettbiblioteket ; Nr. 27. "
"025256548","rdau:P60049","http://rdvocab.info/termList/RDAContentType/1010"
"025256548","rdau:P60050","http://rdvocab.info/termList/RDAMediaType/1007"
"025256548","dct:issued","1947"
"025256548","dct:title","Pastoral : ur musiken till Medea av Euripides : trestämmig damkör med pianoackompanjemang"
"025256556","@type","http://purl.org/dc/terms/BibliographicResource"
"025256556","@context","https://resources.swissbib.ch/bibliographicResource/context.jsonld"
"025256556","@id","http://data.swissbib.ch/bibliographicResource/025256556"
"025256556","rdfs:isDefinedBy","http://data.swissbib.ch/bibliographicResource/025256556/about"
"025256556","dct:language","http://lexvo.org/id/iso639-3/swe"
"025256556","rdau:P60163","http://sws.geonames.org/2661886/"
"025256556","dct:contributor","http://data.swissbib.ch/person/70e896cc-1ac2-31e3-a458-77098275e497"
"025256556","rdau:P60339","Hilding Rosenberg"
"025256556","dc:format","1 Partitur"
"025256556","rdau:P60049","http://rdvocab.info/termList/RDAContentType/1010"
"025256556","rdau:P60050","http://rdvocab.info/termList/RDAMediaType/1007"
"025256556","dct:issued","1950"
"025256556","dct:title","Om I vänden om och ären stilla : (Jesaja 30:15)"
"025256580","@type","http://purl.org/dc/terms/BibliographicResource"
"025256580","@context","https://resources.swissbib.ch/bibliographicResource/context.jsonld"
"025256580","@id","http://data.swissbib.ch/bibliographicResource/025256580"
